site_code,time_interval,temperature,humidity,solar_radiance
ADH250,2026-07-21 01:00:00+00:00,25.958,88.4893,0.0
ADH250,2026-07-21 02:00:00+00:00,26.608,88.54163,0.0
ADH250,2026-07-21 03:00:00+00:00,27.208,89.118576,0.0
ADH250,2026-07-21 04:00:00+00:00,27.558,86.79189,2.4991953
ADH250,2026-07-21 05:00:00+00:00,27.758001,82.76544,19.517443
ADH250,2026-07-21 06:00:00+00:00,28.958,75.585075,97.19089
ADH250,2026-07-21 07:00:00+00:00,29.708,68.35899,346.46167
ADH250,2026-07-21 08:00:00+00:00,30.808,63.025913,392.3021
ADH250,2026-07-21 09:00:00+00:00,31.958002,59.393486,371.41565
ADH250,2026-07-21 10:00:00+00:00,32.607998,58.47499,345.24957
ADH250,2026-07-21 11:00:00+00:00,32.157997,59.618984,201.3787
ADH250,2026-07-21 12:00:00+00:00,31.758001,61.725574,197.10716
ADH250,2026-07-21 13:00:00+00:00,30.308,68.68064,39.944466
ADH250,2026-07-21 14:00:00+00:00,31.008001,62.31052,31.617466
ADH250,2026-07-21 15:00:00+00:00,30.458,63.71864,2.0170987
ADH250,2026-07-21 16:00:00+00:00,29.258001,71.222916,0.0
ADH250,2026-07-21 17:00:00+00:00,28.208,78.24165,0.0
ADH250,2026-07-21 18:00:00+00:00,27.258001,81.22903,0.0
ADH250,2026-07-21 19:00:00+00:00,26.958,84.429436,0.0
ADH250,2026-07-21 20:00:00+00:00,26.758001,86.97867,0.0
ADH250,2026-07-21 21:00:00+00:00,25.508001,93.090675,0.0
ADH250,2026-07-21 22:00:00+00:00,25.008001,92.22929,0.0
ADH250,2026-07-21 23:00:00+00:00,24.508001,94.17023,0.0
ADH250,2026-07-22 00:00:00+00:00,24.808,91.38709,0.0
ADH250,2026-07-22 01:00:00+00:00,25.408,95.05778,0.0
ADH250,2026-07-22 02:00:00+00:00,25.658,93.09815,0.0
ADH250,2026-07-22 03:00:00+00:00,26.008001,89.29413,0.0
ADH250,2026-07-22 04:00:00+00:00,25.858,90.632866,2.5016232
ADH250,2026-07-22 05:00:00+00:00,26.208,87.71605,40.200245
ADH250,2026-07-22 06:00:00+00:00,26.808,84.667404,51.3371
ADH250,2026-07-22 07:00:00+00:00,26.008001,81.56465,44.23455
ADH250,2026-07-22 08:00:00+00:00,26.958,75.49776,61.30067
ADH250,2026-07-22 09:00:00+00:00,29.808,63.968105,223.44597
ADH250,2026-07-22 10:00:00+00:00,29.458,66.4724,121.50593
ADH250,2026-07-22 11:00:00+00:00,28.208,73.66539,54.066788
ADH250,2026-07-22 12:00:00+00:00,29.158,68.45986,116.80547
ADH250,2026-07-22 13:00:00+00:00,28.008001,72.304115,33.266975
ADH250,2026-07-22 14:00:00+00:00,28.058,71.65706,35.86346
ADH250,2026-07-22 15:00:00+00:00,27.358,73.7465,2.3024917
ADH250,2026-07-22 16:00:00+00:00,26.758001,76.85708,0.0
ADH250,2026-07-22 17:00:00+00:00,26.408,78.93701,0.0
ADH250,2026-07-22 18:00:00+00:00,26.258001,78.91606,0.0
ADH250,2026-07-22 19:00:00+00:00,26.558,76.59316,0.0
ADH250,2026-07-22 20:00:00+00:00,26.008001,80.091125,0.0
ADH250,2026-07-22 21:00:00+00:00,25.758001,80.5471,0.0
ADH250,2026-07-22 22:00:00+00:00,25.908,79.83436,0.0
ADH250,2026-07-22 23:00:00+00:00,25.408,83.245285,0.0
ADH250,2026-07-23 00:00:00+00:00,24.508001,85.98347,0.0
ADH250,2026-07-23 01:00:00+00:00,24.658,90.006,0.0
ADH250,2026-07-23 02:00:00+00:00,24.508001,90.8171,0.0
ADH250,2026-07-23 03:00:00+00:00,25.958,78.39439,12.460709
ADH250,2026-07-23 04:00:00+00:00,27.258001,71.295815,78.87958
ADH250,2026-07-23 05:00:00+00:00,27.758001,70.52054,172.36183
ADH250,2026-07-23 06:00:00+00:00,27.608,73.1187,132.19574
ADH250,2026-07-23 07:00:00+00:00,27.108,73.03309,299.14606
ADH250,2026-07-23 08:00:00+00:00,28.808,66.543564,342.28052
ADH250,2026-07-23 09:00:00+00:00,29.458,65.07275,360.49234
ADH250,2026-07-23 10:00:00+00:00,30.258001,62.907055,316.28198
ADH250,2026-07-23 11:00:00+00:00,29.108,67.829926,175.2259
